track_name,album_name,release_date,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics_text
Chase The Tear,Chase The Tear,2010-05-23,315120,0.731,0.609,10,-8.616,1,0.0342,0.498,0.882,0.1,0.931,95.057,"Looking out, looking in
Going where never been
Running round my defenses
Been afraid, felt the grain
Open doorways full of shame
My own life I resented

Winter sigh, summer's gone
Holding off tomorrow's sorrow

Rushing out, Rushing in
Losing out, losing the
Identity of my heart
Didn't fold, chase the tear
Never let go, now I'm there
It's over, it's over

Winter sigh, summer's gone
Holding off tomorrow's sorrow
So I won't anymore
Winter sigh, summer's gone
Holding off tomorrow's sorrow
So I won't anymore"
The Rip,The Rip,2008-06-09,270960,0.444,0.482,9,-9.442,0,0.031,0.928,0.486,0.099,0.242,74.927,"As she walks in the room
Centered and tall
Hesitating once more
And as I take on myself
And the bitterness I felt
I realize that love flows

Wild, white horses
They will take me away
And the tenderness I feel
Will send the dark underneath
Will I follow?

Through the glory of life
I will scatter on the floor
Disappointed and sore
And in my thoughts I have bled
For the riddles I've been fed
Another lie moves over

Wild, white horses
They will take me away
And the tenderness I feel
Will send the dark underneath
Will I follow?


Wild, white horses
They will take me away
And the tenderness I feel
Will send the dark underneath
Will I follow?"
Silence - Portishead In Portishead,The Rip,2008-06-09,277973,0.289,0.769,10,-8.174,0,0.0879,0.00135,0.00168,0.108,0.277,132.552,"Esteja alerta para as regras dos três
O que você dá, retornará para você
Essa lição, você tem que aprender
Você só ganha o que você merece


Tempted in our minds
Tormented inside lie
Wounded and afraid
Inside my head
Falling through changes

Did you know when you lost?
Did you know when I wanted?
Did you know what I lost?
Do you know what I wanted?

Empty in our hearts
Crying out in silence
Wandered out of reach
Too far to speak
Drifting unable

Did you know when you lost?
Did you know when I wanted?
Did you know what I lost?
Do you know what I wanted?"
Magic Doors - Single Version,Magic Doors,2008-01-01,202866,0.648,0.817,2,-6.462,0,0.0501,0.108,0.661,0.117,0.666,106.155,"I can't deny what I've become
I'm just emotionally undone
I can't deny, I can't be someone else
When I have tried to find the words
To describe this sense absurd
Try to resist my thoughts, but I can't lie

I'm only losin' myself
My desire I can't hide
No reason I'm alive for

I can't divide or hide from me
I don't know who I'm meant to be
I guess it's just the person that I am
Often I've dreamt that I don't wake
Enjoy the gift of my mistake
But yet again, I'm wrong and I confess

I'm only losin' myself
My desire I can't hide
No reason I'm alive for

I'm only losin' myself
My desire I can't hide
No reason I'm alive for"
Elysium - Parlour Talk Remix,Only You,1998-03-02,326710,0.732,0.538,1,-17.587,1,0.374,0.0234,0.242,0.227,0.363,160.453,"No one has said
What the truth should be
And no one decided
That I'd feel this way
If you felt as I
Would you betray yourself?

But you can't deny how I feel
And you can't decide for me

No one should fear
What they cannot see
And no one's to blame
It's just hypocrisy
It's written in your eyes
And how I despise myself

But you can't deny how I feel
And you can't decide for me

And it's your heart
That's so wrong
Mistaken
You'll never know
Your feathered sacred self

But you can't deny how I feel
And you can't decide for me
And you can't deny how I feel
Oh, why should you dеcide for me?"
Elysium - Parlour Talk Remix / Instrumental,Only You,1998-03-02,327552,0.752,0.466,1,-18.422,1,0.339,0.0567,0.804,0.275,0.316,80.252,null
Over,Over,1997-11-10,237466,0.628,0.707,1,-9.501,1,0.043,0.444,0.000347,0.11,0.181,74.137,"I can't hold this day anymore
Understand me anymore
To tread this fantasy openly
What have I done?

Oh, this uncertainty
Is taking me over

I can't mould this stage anymore
Recognise me anymore
To tread this fantasy openly
What have I done?

Oh, this uncertainty
Is taking me over
Is taking me over
To tread this fantasy openly
What have I done?
Oh, this uncertainty
Is taking me over
Is taking me over
Is taking me over

Yes, it's all over, yeah
Oh, it's all over, yeah"
Over - Remix,Over,1997-11-10,259613,0.631,0.49,8,-7.61,0,0.0513,0.406,0.00574,0.155,0.455,74.968,"I can't hold this day anymore
Understand me anymore
To tread this fantasy openly
What have I done?

Oh, this uncertainty
Is taking me over

I can't mould this stage anymore
Recognise me anymore
To tread this fantasy openly
What have I done?

Oh, this uncertainty
Is taking me over
Is taking me over
To tread this fantasy openly
What have I done?
Oh, this uncertainty
Is taking me over
Is taking me over
Is taking me over

Yes, it's all over, yeah
Oh, it's all over, yeah"
Over - Instrumental,Over,1997-11-10,238809,0.542,0.727,1,-11.253,1,0.0362,0.206,0.56,0.104,0.0546,148.018,
All Mine,All Mine,1997-09-08,241623,0.338,0.665,1,-2.894,0,0.142,0.0915,0.014,0.0781,0.314,180.503,"All the stars may shine a-bright
All the clouds may be white
But when you smile
Oh, how I feel so good
That I can hardly wait
To hold you
Enfold you
Never enough
Render your heart to me

All mine
You have to be

From that cloud number nine
Danger starts the sharp incline
And such sad regrets
Oh, as those starry skies
As they swiftly fall
Make no mistake
You shan't escape
Tethered and tied
There's nowhere to hide from me

All mine
You have to be

So don't resist
We shall exist
Until the day
Until the day I die

All mine
You have to be"
All Mine - Instrumental,All Mine,1997-09-08,241542,0.669,0.583,11,-3.744,1,0.1,0.0515,0.544,0.098,0.443,60.234,
Cowboys,All Mine,1997-09-08,278825,0.461,0.843,10,-2.515,0,0.0442,0.147,1.51e-05,0.0959,0.181,76.74,"Did you sweep us far from your feet?
Reset in stone this stark belief?
Salted eyes and a sordid dye
Too many years

But don't despair
This day will be their damnedest day
Oh, if you take these things from me

Did you feed us tales of deceit?
Conceal the tongues who need to speak?
Subtle lies and a soiled coin
The truth is sold, the deal is done

But don't despair
This day will be their damnedest day
Oh, if you take these things from me

Undefied, no signs of regret
Your swollen pride assumes respect
Talons fly as a last disguise
But no return, the time has come

So don't despair
This day will be their damnedest day
Oh, if you take these things from me

Oh, if you take these things from me"
Cowboys - Instrumental,All Mine,1997-09-08,279887,0.428,0.777,10,-3.131,0,0.0385,0.00642,0.000148,0.12,0.17,76.682,
Glory Box - Edit,Glory Box,1995-01-02,217573,0.457,0.47,1,-8.282,1,0.0336,0.0637,0.555,0.105,0.2,119.502,"I'm so tired, of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just...
Give me a reason to love you
Give me a reason to be ee, a woman
I just want to be a woman
From this time, unchained
We're all looking at a different picture
Through this new frame of mind
A thousand flowers could bloom
Move over, and give us some room

So don't you stop, being a man
Just take a little look from our side when you can
Sow a little tenderness
No matter if you cry
Give me a reason to love you
Give me a reason to be ee, a woman
It's all I want to be is all woman
For this is the beginning of forever and ever
It's time to move over"
Toy Box,Glory Box,1995-01-02,346226,0.83,0.284,10,-10.526,0,0.0427,0.0363,0.0432,0.106,0.788,120.033,"I'm so tired, of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just...
Give me a reason to love you
Give me a reason to be ee, a woman
I just wanna be a woman
From this time, unchained
We're all looking at a different picture
Thru this new frame of mind
A thousand flowers could bloom
Move over, and give us some room
So don't you stop, being a man
Just take a little look from our side when you can
Sow a little tenderness
No matter if you cry
Give me a reason to love you
Give me a reason to be ee, a woman
It's all I wanna be is all woman
For this is the beginning of forever and ever
It's time to move over"
Scorn,Glory Box,1995-01-02,366733,0.568,0.437,8,-9.823,1,0.0843,0.397,0.397,0.1,0.271,120.067,"I'm so tired of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just...
Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman
From this time, unchained
We're all looking at a different picture
Thru this new frame of mind
A thousand flowers could bloom
Move over, and give us some room
Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman
So don't you stop, being a man
Just take a little look from our side when you can
Sow a little tenderness
No matter if you cry
Give me a reason to love you
Give me a reason to be a woman
It's all I wanna be is all woman
For this is the beginning of forever and ever
It's time to move over"
Sheared Box,Glory Box,1995-01-02,209240,0.812,0.557,11,-11.681,1,0.233,0.664,0.247,0.0964,0.378,89.956,
Sour Sour Times,Sour Times,1994-08-01,247958,0.694,0.696,6,-10.271,1,0.22,0.0577,0.214,0.0707,0.513,93.955,"To pretend no one can find
The fallacies of morning rose
Forbidden fruit, hidden eyes
Courtesies that I despise in me
Take a ride, take a shot now

'Cause nobody loves me, it's true
Not like you do

Covered by the blind belief
That fantasies of sinful screens
Bear the facts, assume the dye
End the vows, no need to lie, enjoy
Take a ride, take a shot now

'Cause nobody loves mе, it's true
Not like you do

Who am I, what and why?
'Cause all I havе left
Is my memories of yesterday
Oh, these sour times

'Cause nobody loves me, it's true
Not like you do

After time, the bitter taste
Of innocence, descent, or race
Scattered seeds, buried lives
Mysteries of our disguise revolve
Circumstance will decide

‘Cause nobody loves me, it’s true
Not like you do

'Cause nobody loves me, it's true
Not like you
Nobody loves me, it's true
Not like you do"
Sour Times - Lot More Mix,Sour Times,1994-08-01,262060,0.77,0.444,8,-10.308,1,0.0809,0.0415,0.442,0.0756,0.317,93.956,
Sheared Times,Sour Times,1994-08-01,259924,0.653,0.591,5,-9.553,0,0.0773,0.0389,0.719,0.0712,0.309,187.773,null
Sour Times - Airbus Reconstruction,Sour Times,1994-08-01,309905,0.344,0.749,11,-7.987,1,0.0331,0.000193,0.00587,0.1,0.226,187.783,"To pretend no one can find
The fallacies of morning rose
Forbidden fruit, hidden eyes
Courtesies that I despise in me
Take a ride, take a shot now
Cause nobody loves me, it's true
Not like you do
Covered by the blind belief
That fantasies of sinful screens
Bear the facts, assume the dye
End the vows no need to lie, enjoy
Take a ride, take a shot now
Cause nobody loves me, it's true
Not like you do
Who am I, what and why
Cause all I have left is my memories of yesterday
Ohh these sour times
Cause nobody loves me, it's true
Not like you do
After time, the bitter taste
Of innocence, descent or race
Scattered seeds, buried lives
Mysteries of our disguise revolve
Circumstance will decide
Cause nobody loves me, it's true
Not like you
Nobody loves me, it's true
Not like you do"
Theme From 'To Kill A Dead Man',Sour Times,1994-08-01,266483,0.265,0.204,4,-12.047,0,0.0366,0.326,0.875,0.107,0.0557,135.3,
Numb,Numb,1994-06-13,234974,0.587,0.385,11,-7.842,1,0.0275,0.0559,5.65e-05,0.0801,0.237,78.026,"I'm ever so lost
I can't find my way
Been searching, but I have never seen
A turning, a turning from deceit

'Cause the child rose as life
Tried to reveal what I could feel

I can't understand myself anymore
'Cause I'm still feeling lonely
Feeling so unholy

'Cause the child rose as light
Tried to reveal what I could feel
And this loneliness
It just won't leave me alone

I'm fooling somebody
A faithless path I roam
Deceiving to breathe this secretly
A silence, this silence I can't bear

'Cause the child rose as life
Tries to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
And this loneliness
It just won't leave me alone

A lady of woe
A lady of woe"
Numbed In Moscow,Numb,1994-06-13,234202,0.614,0.413,11,-12.874,1,0.0378,0.124,0.127,0.143,0.273,78.176,"I'm ever so lost
I can't find my way
Been searching, but I have never seen
A turning, a turning from deceit
'Cause the child roses like
Try to reveal what I could feel
I can't understand myself anymore
'cause I'm still feeling lonely
Feeling so unholy
'Cause the child roses like
Try to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
I'm fooling somebody
A faithless path I roam
Deceiving to breathe this secretly
A silence, this silence I can't bear
'Cause the child roses like
Tries to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
And this loneliness
It just won't leave me alone
A lady of war
A lady of war"
Revenge Of The Number,Numb,1994-06-13,202230,0.813,0.28,5,-10.42,1,0.0699,0.05,0.317,0.105,0.323,81.953,"And ever so lost
I can't find my way
Been searching, but I have never seen
A turning, a turning from deceit
'Cause the child roses like
Try to reveal what I could feel
I can't understand myself anymore
'Cause I'm still feeling lonely
Feeling so unholy
'Cause the child roses like
Try to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
I'm fooling somebody
A faithless path to roam
Deceiving to breath this secretly
A silence, this silence I can't bear
'Cause a child roses light
Try to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
And this loneliness
It just won't leave me alone
A lady of war
A lady of war"
Numb-Earth Linger,Numb,1994-06-13,252406,0.752,0.74,7,-10.518,1,0.129,0.292,0.617,0.87,0.627,78.126,
A Tribute To Monk & Canatella,Numb,1994-06-13,659920,0.521,0.37,5,-14.553,0,0.0893,0.344,0.679,0.133,0.0799,87.927,
